"","course_name_830","prior_knowl_percent","awake_rating","attendance_percent","on_time_percentage","teach_perf_rating_830","sleep_total_830","transport_method_830","commute_time_830","wake_time_830","gpa_830","class_avg_gpa_830","learn_effectiveness_830","course_name_n830","prior_knowl_percent_n830","start_time_n830","also_had_830class_n830","awake_rating_n830","attendance_percent_n830","on_time_percent_n830","teach_perf_rating_n830","sleep_total_n830","transport_method_n830","commute_time_n830","wake_time_n830","gpa_n830","class_avg_gpa_n830","learn_effectiveness_n830"
"77","FRENCH 101",50,4,65,100,3,7,"Walking",20,2018-02-26 07:00:00,3.5,NA,2,"GEOG 101",30,2018-02-26 04:30:00,"Yes",5,80,100,5,7,"Walking",10,2018-02-26 07:00:00,3.5,NA,5
"78","MATH 124",50,3,90,100,4,8,"Walking",15,2018-02-26 07:00:00,3.7,NA,3,"PSYCH 101",70,2018-02-26 11:30:00,"No",5,90,100,5,9,"Walking",10,2018-02-26 08:00:00,4,NA,5
"79","CHEM 220",0,1,20,90,4,7,"Walking",15,2018-02-26 08:00:00,2.5,2,3,"BIOL 180",30,2018-02-26 01:30:00,"No",5,100,100,5,8,"Walking",15,2018-02-26 10:00:00,2.5,NA,4
"80","MATH 125",25,5,100,100,5,8,"pub_transport",15,2018-02-26 05:30:00,3.7,2.7,5,"CHEM 237",25,2018-02-26 11:30:00,"Yes",5,100,100,5,8,"pub_transport",15,2018-02-26 06:30:00,3.7,3.1,5
"81","CS&SS 221",80,3,95,10,5,6,"pub_transport",25,2018-02-26 07:15:00,3.7,NA,5,"INFO 200",10,2018-02-26 10:30:00,"Yes",2,100,100,3,6,"pub_transport",25,2018-02-26 07:15:00,3.5,NA,3
"82","MATH 125",75,2,100,100,1,4,"pub_transport",60,2018-02-26 06:30:00,2.9,2.9,1,"CSE 446",50,2018-02-26 09:30:00,"No",4,50,100,5,8,"Walking",20,2018-02-26 01:00:00,4,NA,5
"83","MKTG 455",20,5,90,80,4,6,"Walking",15,2018-02-26 07:30:00,3.4,NA,4,"MKTG 430",30,2018-02-26 10:30:00,"Yes",5,70,100,5,7,"Walking",15,2018-02-26 07:30:00,3.6,NA,5
"84","BIOL 401 ",30,2,80,50,3,5,"pub_transport",70,2018-02-26 05:30:00,2.9,NA,1,"COMM 331 ",0,2018-02-26 11:30:00,"Yes",5,100,100,5,7,"pub_transport",40,2018-02-26 08:30:00,3.8,NA,5
"85","CEE 477",20,3,80,80,5,4,"Walking",21,2018-02-26 07:30:00,3.5,3.5,3,"CEE 483",20,2018-02-26 10:30:00,"No",4,95,95,5,6,"Walking",20,2018-02-26 09:45:00,3.5,NA,5
"86","PSYCH 209",20,4,95,90,4,6,"Walking",12,2018-02-26 07:35:00,3.7,NA,2,"PSYCH 202",10,2018-02-26 09:30:00,"No",4,100,100,5,8,"Walking",12,2018-02-26 08:30:00,4,NA,4
